Time Heading Pitch Roll AccelX AccelY AccelZ GravityX GravityY GravityZ
16.156 0.00 0.10 2.19 0.01 -0.02 -0.14 -0.01 0.37 9.79
16.245 0.00 0.10 2.19 0.00 -0.02 -0.12 -0.01 0.37 9.79
16.550 0.00 0.10 2.19 0.00 -0.01 -0.15 -0.01 0.37 9.79
16.557 0.00 0.10 2.19 0.00 -0.02 -0.14 -0.01 0.37 9.79
16.565 0.00 0.10 2.19 0.00 -0.01 -0.13 -0.01 0.37 9.79
16.651 0.00 0.10 2.19 0.02 -0.04 -0.14 -0.01 0.37 9.79
16.870 0.00 0.10 2.19 0.01 0.00 -0.11 -0.01 0.37 9.79
16.879 0.00 0.10 2.19 0.00 -0.04 -0.14 -0.01 0.37 9.79
16.960 0.00 0.10 2.19 0.00 -0.03 -0.10 -0.01 0.37 9.79
17.072 0.00 0.10 2.19 0.01 -0.04 -0.13 -0.01 0.37 9.79
17.167 0.00 0.10 2.19 0.00 -0.02 -0.13 -0.01 0.37 9.79
17.272 0.00 0.10 2.19 0.00 0.00 -0.11 -0.01 0.37 9.79
17.371 0.00 0.10 2.19 0.02 -0.02 -0.12 -0.01 0.37 9.79
17.477 0.00 0.10 2.19 0.00 -0.02 -0.14 -0.01 0.37 9.79
17.668 0.00 0.10 2.19 0.01 -0.01 -0.12 -0.01 0.37 9.79
17.679 0.00 0.10 2.19 0.01 -0.02 -0.12 -0.01 0.37 9.79
17.776 0.00 0.10 2.19 0.02 -0.02 -0.14 -0.01 0.37 9.79
17.888 0.00 0.10 2.19 0.00 -0.01 -0.12 -0.01 0.37 9.79
17.981 0.00 0.10 2.19 0.00 -0.02 -0.12 -0.01 0.37 9.79
18.183 0.00 0.10 2.19 0.01 -0.05 -0.12 -0.01 0.37 9.79
18.194 0.00 0.10 2.19 0.00 -0.01 -0.13 -0.01 0.37 9.79
18.396 0.00 0.10 2.19 0.02 0.00 -0.13 -0.01 0.37 9.79
18.402 0.00 0.10 2.19 0.01 -0.02 -0.12 -0.01 0.37 9.79
18.449 0.00 0.10 2.19 0.00 -0.03 -0.12 -0.01 0.37 9.79
18.603 0.00 0.10 2.19 0.01 -0.01 -0.13 -0.01 0.37 9.79
18.653 0.00 0.10 2.19 0.00 -0.02 -0.14 -0.01 0.37 9.79
18.746 0.00 0.10 2.19 0.00 -0.01 -0.13 -0.01 0.37 9.79
18.907 0.00 0.10 2.19 0.00 -0.02 -0.12 -0.01 0.37 9.79
18.950 0.00 0.10 2.19 0.00 -0.02 -0.12 -0.01 0.37 9.79
19.107 0.00 0.10 2.19 0.00 -0.02 -0.14 -0.01 0.37 9.79
19.197 0.00 0.10 2.19 0.01 -0.04 -0.15 -0.01 0.37 9.79
19.306 0.00 0.10 2.19 0.00 -0.03 -0.14 -0.01 0.37 9.79
19.512 0.00 0.10 2.19 0.02 -0.01 -0.11 -0.01 0.37 9.79
19.831 0.00 0.10 2.19 -0.01 -0.03 -0.12 -0.01 0.37 9.79
19.840 0.00 0.10 2.19 0.01 -0.03 -0.13 -0.01 0.37 9.79
20.072 0.00 0.10 2.19 0.00 -0.03 -0.14 -0.01 0.37 9.79
20.083 0.00 0.10 2.19 0.00 -0.02 -0.11 -0.01 0.37 9.79
20.089 0.00 0.10 2.19 0.01 0.00 -0.13 -0.01 0.37 9.79
20.144 0.00 0.10 2.19 0.01 -0.03 -0.12 -0.01 0.37 9.79
20.154 0.00 0.10 2.19 0.02 -0.03 -0.12 -0.01 0.37 9.79
20.194 0.00 0.10 2.19 0.01 -0.02 -0.13 -0.01 0.37 9.79
20.293 0.00 0.10 2.19 0.01 -0.04 -0.13 -0.01 0.37 9.79
20.447 0.00 0.10 2.19 0.01 -0.01 -0.13 -0.01 0.37 9.79
20.455 0.00 0.10 2.19 0.00 0.00 -0.11 -0.01 0.37 9.79
20.644 0.00 0.10 2.19 0.00 -0.03 -0.13 -0.01 0.37 9.79
20.653 0.00 0.10 2.19 -0.01 0.00 -0.12 -0.01 0.37 9.79
20.867 0.00 0.10 2.19 0.00 -0.02 -0.14 -0.01 0.37 9.79
20.875 0.00 0.10 2.19 0.00 -0.02 -0.11 -0.01 0.37 9.79
21.019 0.00 0.10 2.19 0.00 -0.02 -0.12 -0.01 0.37 9.79
21.163 0.00 0.10 2.19 0.01 0.00 -0.12 -0.01 0.37 9.79
21.172 0.00 0.10 2.19 0.00 -0.04 -0.12 -0.01 0.37 9.79
21.284 0.00 0.10 2.19 0.00 -0.02 -0.11 -0.01 0.37 9.79
21.343 0.00 0.10 2.19 0.01 -0.04 -0.13 -0.01 0.37 9.79
21.480 0.00 0.10 2.19 0.01 -0.02 -0.12 -0.01 0.37 9.79
21.571 0.00 0.10 2.19 0.00 -0.02 -0.13 -0.01 0.37 9.79
21.769 0.00 0.10 2.19 0.00 -0.05 -0.10 -0.01 0.37 9.79
21.777 0.00 0.10 2.19 0.01 -0.02 -0.12 -0.01 0.37 9.79
21.872 0.00 0.10 2.19 0.02 -0.04 -0.13 -0.01 0.37 9.79
22.175 0.00 0.10 2.19 0.01 -0.02 -0.14 -0.01 0.37 9.79
22.186 0.00 0.10 2.19 0.00 -0.04 -0.11 -0.01 0.37 9.79
22.198 0.00 0.10 2.19 0.02 -0.02 -0.12 -0.01 0.37 9.79
22.280 0.00 0.10 2.19 0.00 -0.01 -0.12 -0.01 0.37 9.79
22.481 0.00 0.10 2.19 0.01 -0.02 -0.12 -0.01 0.37 9.79
22.490 0.00 0.10 2.19 0.00 -0.01 -0.12 -0.01 0.37 9.79
22.575 0.00 0.10 2.19 0.01 -0.02 -0.11 -0.01 0.37 9.79
22.669 0.00 0.10 2.19 0.00 -0.02 -0.12 -0.01 0.37 9.79
22.762 0.00 0.10 2.19 0.01 -0.02 -0.11 -0.01 0.37 9.79
22.864 0.00 0.10 2.19 0.01 -0.03 -0.12 -0.01 0.37 9.79
23.009 0.00 0.10 2.19 0.03 -0.03 -0.12 -0.01 0.37 9.79
23.058 0.00 0.10 2.19 -0.01 -0.03 -0.13 -0.01 0.37 9.79
23.210 0.00 0.10 2.19 0.00 -0.03 -0.14 -0.01 0.37 9.79
23.260 0.00 0.10 2.19 0.01 -0.03 -0.13 -0.01 0.37 9.79
23.418 0.00 0.10 2.19 0.01 0.00 -0.11 -0.01 0.37 9.79
23.464 0.00 0.10 2.19 0.01 -0.03 -0.12 -0.01 0.37 9.79
23.614 0.00 0.10 2.19 0.00 -0.03 -0.12 -0.01 0.37 9.79
23.674 0.00 0.10 2.19 0.01 -0.03 -0.14 -0.01 0.37 9.79
23.832 0.00 0.10 2.19 0.01 -0.04 -0.10 -0.01 0.37 9.79
23.925 0.00 0.10 2.19 0.00 -0.03 -0.12 -0.01 0.37 9.79
24.030 0.00 0.10 2.19 0.01 0.00 -0.10 -0.01 0.37 9.79
24.122 0.00 0.10 2.19 0.00 -0.03 -0.15 -0.01 0.37 9.79
24.187 0.00 0.10 2.19 0.00 -0.01 -0.13 -0.01 0.37 9.79
24.335 0.00 0.10 2.19 0.00 -0.01 -0.13 -0.01 0.37 9.79
24.397 0.00 0.10 2.19 0.01 -0.03 -0.12 -0.01 0.37 9.79
24.550 0.00 0.10 2.19 0.00 -0.02 -0.11 -0.01 0.37 9.79
24.637 0.00 0.10 2.19 0.01 -0.01 -0.12 -0.01 0.37 9.79
24.701 0.00 0.10 2.19 0.02 -0.04 -0.14 -0.01 0.37 9.79
24.758 0.00 0.10 2.19 0.01 0.00 -0.12 -0.01 0.37 9.79
24.844 0.00 0.10 2.19 0.01 -0.02 -0.12 -0.01 0.37 9.79
24.950 0.00 0.10 2.19 0.01 -0.03 -0.12 -0.01 0.37 9.79
25.055 0.00 0.10 2.19 0.00 -0.03 -0.13 -0.01 0.37 9.79
25.255 0.00 0.10 2.19 0.00 -0.03 -0.11 -0.01 0.37 9.79
25.267 0.00 0.10 2.19 0.01 -0.04 -0.14 -0.01 0.37 9.79
25.352 0.00 0.10 2.19 0.01 -0.02 -0.13 -0.01 0.37 9.79
25.460 0.00 0.10 2.19 0.00 -0.03 -0.14 -0.01 0.37 9.79
25.661 0.00 0.10 2.19 0.00 -0.04 -0.13 -0.01 0.37 9.79
25.671 0.00 0.10 2.19 0.01 -0.02 -0.16 -0.01 0.37 9.79
25.881 0.00 0.10 2.19 0.01 -0.02 -0.10 -0.01 0.37 9.79
25.890 0.00 0.10 2.19 0.00 -0.01 -0.13 -0.01 0.37 9.79
25.972 0.00 0.10 2.19 -0.01 0.00 -0.12 -0.01 0.37 9.79
26.271 0.00 0.10 2.19 0.01 -0.03 -0.12 -0.01 0.37 9.79
26.283 0.00 0.10 2.19 0.00 -0.03 -0.13 -0.01 0.37 9.79
26.292 0.00 0.10 2.19 0.00 -0.02 -0.09 -0.01 0.37 9.79
