Time (s),RPM1,RPM2,RPM3,dt (s),Vx (m/s),Vy (m/s),Omega (rad/s),X (m),Y (m),Theta (rad)
3.081,0.0,0.0,0.0,0.1429999999999998,0.0,0.0,0.0,0.0,0.0,0.0
3.084,0.0,0.0,0.0,0.0030000000000001137,0.0,0.0,0.0,0.0,0.0,0.0
3.086,0.0,0.0,0.0,0.0019999999999997797,0.0,0.0,0.0,0.0,0.0,0.0
3.087,0.0,0.0,0.0,0.001000000000000334,0.0,0.0,0.0,0.0,0.0,0.0
3.088,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.0,0.0,0.0
3.089,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.0,0.0,0.0
3.091,0.0,0.0,0.0,0.002000000000000224,0.0,0.0,0.0,0.0,0.0,0.0
3.094,0.0,0.0,0.0,0.0029999999999996696,0.0,0.0,0.0,0.0,0.0,0.0
3.129,0.0,0.0,0.0,0.03500000000000014,0.0,0.0,0.0,0.0,0.0,0.0
3.13,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.0,0.0,0.0
3.179,0.0,0.0,0.0,0.04899999999999993,0.0,0.0,0.0,0.0,0.0,0.0
3.181,0.0,0.0,0.0,0.002000000000000224,0.0,0.0,0.0,0.0,0.0,0.0
3.182,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.0,0.0,0.0
3.229,0.0,0.0,0.0,0.04700000000000015,0.0,0.0,0.0,0.0,0.0,0.0
3.232,0.0,0.0,0.0,0.0030000000000001137,0.0,0.0,0.0,0.0,0.0,0.0
3.394,0.0,0.0,0.0,0.16199999999999992,0.0,0.0,0.0,0.0,0.0,0.0
3.397,0.0,0.0,0.0,0.0029999999999996696,0.0,0.0,0.0,0.0,0.0,0.0
3.399,0.0,0.0,0.0,0.002000000000000224,0.0,0.0,0.0,0.0,0.0,0.0
3.402,0.0,0.0,0.0,0.0030000000000001137,0.0,0.0,0.0,0.0,0.0,0.0
3.403,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.0,0.0,0.0
3.405,0.0,0.0,0.0,0.0019999999999997797,0.0,0.0,0.0,0.0,0.0,0.0
3.407,0.0,0.0,0.0,0.002000000000000224,0.0,0.0,0.0,0.0,0.0,0.0
3.409,0.0,0.0,0.0,0.0019999999999997797,0.0,0.0,0.0,0.0,0.0,0.0
3.444,0.0,0.0,0.0,0.03500000000000014,0.0,0.0,0.0,0.0,0.0,0.0
3.445,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.0,0.0,0.0
3.446,0.0,0.0,0.0,0.001000000000000334,0.0,0.0,0.0,0.0,0.0,0.0
3.594,0.0,0.0,0.0,0.1479999999999997,0.0,0.0,0.0,0.0,0.0,0.0
3.596,0.0,0.0,0.0,0.002000000000000224,0.0,0.0,0.0,0.0,0.0,0.0
3.597,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.0,0.0,0.0
3.598,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.0,0.0,0.0
3.6,0.0,0.0,0.0,0.002000000000000224,0.0,0.0,0.0,0.0,0.0,0.0
3.602,0.0,0.0,0.0,0.0019999999999997797,0.0,0.0,0.0,0.0,0.0,0.0
3.603,0.0,0.0,0.0,0.001000000000000334,0.0,0.0,0.0,0.0,0.0,0.0
3.651,0.0,0.0,0.0,0.0479999999999996,0.0,0.0,0.0,0.0,0.0,0.0
3.654,0.0,0.0,0.0,0.0030000000000001137,0.0,0.0,0.0,0.0,0.0,0.0
3.899,0.0,0.0,0.0,0.2450000000000001,0.0,0.0,0.0,0.0,0.0,0.0
3.901,0.0,0.0,0.0,0.0019999999999997797,0.0,0.0,0.0,0.0,0.0,0.0
3.903,0.0,0.0,0.0,0.002000000000000224,0.0,0.0,0.0,0.0,0.0,0.0
3.906,0.0,0.0,0.0,0.0030000000000001137,0.0,0.0,0.0,0.0,0.0,0.0
3.908,0.0,0.0,0.0,0.0019999999999997797,0.0,0.0,0.0,0.0,0.0,0.0
3.909,0.0,0.0,0.0,0.0009999999999998899,0.0,0.0,0.0,0.0,0.0,0.0
